Date,Open,High,Low,Close,Adj Close,Volume
20200827,436.09201,459.119995,428.5,447.75,447.75,118465000
20200828,459.023987,463.697998,437.303986,442.679993,442.679993,100406000
20200831,444.609985,500.140015,440.109985,498.320007,498.320007,118374400
20200901,502.140015,502.48999,470.51001,475.049988,475.049988,89841100
20200902,478.98999,479.040009,405.119995,447.369995,447.369995,96176100
20200903,407.230011,431.799988,402,407,407,87596100
20200904,402.809998,428,372.019989,418.320007,418.320007,110321900
20200908,356,368.73999,329.880005,330.209991,330.209991,115465700
20200909,356.600006,369,341.51001,366.279999,366.279999,79465800
20200910,386.209991,398.98999,360.559998,371.339996,371.339996,84930600
20200911,381.940002,382.5,360.5,372.720001,372.720001,60717500
20200914,380.950012,420,373.299988,419.619995,419.619995,83020600
20200915,436.559998,461.940002,430.700012,449.76001,449.76001,97298200
20200916,439.869995,457.790009,435.309998,441.76001,441.76001,72279300
20200917,415.600006,437.790009,408,423.429993,423.429993,76779200
20200918,447.940002,451,428.799988,442.149994,442.149994,86406800
20200921,453.130005,455.679993,407.070007,449.390015,449.390015,109476800
20200922,429.600006,437.76001,417.600006,424.230011,424.230011,79580800
20200923,405.160004,412.149994,375.880005,380.359985,380.359985,95074200
20200924,363.799988,399.5,351.299988,387.790009,387.790009,96561100
20200925,393.470001,408.730011,391.299988,407.339996,407.339996,67208500
20200928,424.619995,428.079987,415.549988,421.200012,421.200012,49719600
20200929,416,428.5,411.600006,419.070007,419.070007,50219300
20200930,421.320007,433.929993,420.470001,429.01001,429.01001,48145600
20201001,440.76001,448.880005,434.420013,448.160004,448.160004,50741500
20201002,421.390015,439.130005,415,415.089996,415.089996,71430000
20201005,423.350006,433.640015,419.329987,425.679993,425.679993,44722800
20201006,423.790009,428.779999,406.049988,413.980011,413.980011,49146300
20201007,419.869995,429.899994,413.850006,425.299988,425.299988,43127700
20201008,438.440002,439,425.299988,425.920013,425.920013,40421100
20201009,430.130005,434.589996,426.459991,434,434,28925700
20201012,442,448.73999,438.579987,442.299988,442.299988,38791100
20201013,443.350006,448.890015,436.600006,446.649994,446.649994,34463700
20201014,449.779999,465.899994,447.350006,461.299988,461.299988,47879700
20201015,450.309998,456.570007,442.5,448.880005,448.880005,35672400
20201016,454.440002,455.950012,438.850006,439.670013,439.670013,32775900
20201019,446.23999,447,428.869995,430.829987,430.829987,36287800
20201020,431.75,431.75,419.049988,421.940002,421.940002,31656300
20201021,422.700012,432.950012,421.25,422.640015,422.640015,32370500
20201022,441.920013,445.230011,424.51001,425.790009,425.790009,39993200
20201023,421.839996,422.890015,407.380005,420.630005,420.630005,33717000
20201026,411.630005,425.76001,410,420.279999,420.279999,28239200
20201027,423.76001,430.5,420.100006,424.679993,424.679993,22686500
20201028,416.480011,418.600006,406,406.019989,406.019989,25451400
20201029,409.959991,418.059998,406.459991,410.829987,410.829987,22655300
20201030,406.899994,407.589996,379.109985,388.040009,388.040009,42511300
20201102,394,406.980011,392.299988,400.51001,400.51001,29021100
20201103,409.730011,427.769989,406.690002,423.899994,423.899994,34351700
20201104,430.619995,435.399994,417.100006,420.980011,420.980011,32143100
20201105,428.299988,440,424,438.089996,438.089996,28414500
20201106,436.100006,436.570007,424.279999,429.950012,429.950012,21706000
20201109,439.5,452.5,421,421.26001,421.26001,34833000
20201110,420.089996,420.089996,396.029999,410.359985,410.359985,30284200
20201111,416.450012,418.700012,410.579987,417.130005,417.130005,17357700
20201112,415.049988,423,409.519989,411.76001,411.76001,19855100
20201113,410.850006,412.529999,401.660004,408.5,408.5,19771100
20201116,408.929993,412.450012,404.089996,408.089996,408.089996,26838600
20201117,460.170013,462,433.01001,441.609985,441.609985,61188300
20201118,448.350006,496,443.5,486.640015,486.640015,78044000
20201119,492,508.609985,487.570007,499.269989,499.269989,62475300
20201120,497.98999,502.5,489.059998,489.609985,489.609985,32911900
